大陆全网,#genre#
Newtv-爱情喜剧,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225913/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226299/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
Newtv-海外剧场,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225917/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226302/1.m3u8
Newtv-家庭剧场,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225918/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226290/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226330/1.m3u8
Newtv-惊悚悬疑,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225921/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226294/1.m3u8
NewTV-超级电视剧,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225864/1.m3u8
Newtv-超级电视剧,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225864/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226253/1.m3u8
Newtv-超级电影,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226133/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
Newtv-超级体育,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226157/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226158/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
Newtv-超级综艺,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226127/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
Newtv-搏击,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226320/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226171/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226297/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226320/1.m3u8
Newtv-精品大剧,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225925/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226291/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
Newtv-精品记录,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226293/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226332/1.m3u8
Newtv-精品体育,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225922/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226287/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226328/1.m3u8
Newtv-潮妈辣婆,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225957/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226286/1.m3u8
山东卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226244/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8
山东教育卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225908/1.m3u8
山西卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
广东卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225878/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
天津卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225899/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
云南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8
内蒙古卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8
凤凰中文高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226143/1.m3u8
凤凰香港高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226120/1.m3u8
凤凰资讯高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226142/1.m3u8
甘肃卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8
东方卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226161/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
东南卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225876/1.m3u8
北京卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226160/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
四川卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8
宁夏卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8
辽宁卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225889/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8
吉林卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8
西藏卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
优漫卡通,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225910/1.m3u8
江西卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225888/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
江苏卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225887/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
安徽卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225873/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8
阳光卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226121/1.m3u8
青海卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8
金鹰卡通,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225906/1.m3u8
河北卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8
河南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8
陕西卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
贵州卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8
哈哈炫动,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225909/1.m3u8
重庆卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225904/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226337/1.m3u8
浙江卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225903/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
海南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8
深圳卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225897/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
黑龙江卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225883/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
黑莓电竞,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226250/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226262/1.m3u8
黑莓电影,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226292/1.m3u8
黑莓动画,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225914/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226289/1.m3u8
黑莓点击,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226307/1.m3u8
湖北卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8
湖南卫视高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226162/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8
新疆卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
TVBJ2,mitv://198.255.74.57:12396/5e5020840001a1223d330aa74cb1ccd5.ts
無線新聞台,mitv://198.255.74.57:12396/5e5020840000cc1e3d330a70ca1a8614.ts
翡翠台,mitv://198.255.74.57:12396/5e502083000f32013d330a38c5462049.ts
奇妙電視,mitv://198.255.74.57:12396/5e502083000ee1003d330a23da058f45.ts
明珠台,mitv://198.255.74.57:12396/5e5020810005fbee3d33000cecd53652.ts
RHK32,mitv://198.255.74.57:12396/5e5020810005111f3d32ffd0f7c066b7.ts
ViuTu,mitv://198.255.74.57:12396/5e502081000434db3d32ff98c2c3e2b6.ts
ViuTu_6,mitv://198.255.74.57:12396/5e5020810003593f3d32ff5f0b34caac.ts
無線財經資訊台,mitv://198.255.74.57:12396/5e5020810002752f3d32ff252f84c69d.ts
星空衛視,mitv://198.255.74.57:12396/5e5020810001975d3d32feec7da3a9d1.ts
澳門蓮花,mitv://198.255.74.57:12396/5e5020810000c2553d32feb6d0f53600.ts
鳳凰中文台HD,mitv://198.255.74.57:12396/5e502080000f31733d32fe803275a3b2.ts
鳳凰資訊台HD,mitv://198.255.74.57:12396/5e502080000e56cc3d32fe486f65861e.ts
鳳凰香港台HD,mitv://198.255.74.57:12396/5e502080000d81ed3d32fe1146391509.ts
有线新闻,mitv://198.255.74.57:12396/5e502080000cac0a3d32fddab505f816.ts
有线电影,mitv://198.255.74.57:12396/5e502080000bda4b3d32fda5c67d4497.ts
TVB-星河,mitv://198.255.74.57:12396/5e50207e00034a933d32f3a42bd947a2.ts
TVB经典,mitv://198.255.74.57:12396/5e50207e00027a993d32f36ee2982d43.ts
TVB娱乐,mitv://198.255.74.57:12396/5e50207e0001a84e3d32f3391ccaac57.ts
Test,mitv://198.255.74.57:12396/5e5020840002769b3d330add9782ef3b.ts
中視经典,mitv://198.255.74.57:12396/5e50207e0000d1d03d32f302794f5a5c.ts
中視HD,mitv://198.255.74.57:12396/5e50207d000f40db3d32f2ccd7024e22.ts
中視新聞台,mitv://198.255.74.57:12396/5e50207d000e62303d32f293431c706e.ts
公視HD,mitv://198.255.74.57:12396/5e50207d000d889c3d32f25b1c7040cb.ts
民視台灣台,mitv://198.255.74.57:12396/5e50207d000c92663d32f21cb5a333c5.ts
民視新聞台,mitv://198.255.74.57:12396/5e50207d000bba053d32f1e4f449fe96.ts
民視,mitv://198.255.74.57:12396/5e50207d000ae4ca3d32f1aef2f53641.ts
台視HD,mitv://198.255.74.57:12396/5e50207d000a0bee3d32f17634f6c26e.ts
台視新聞台,mitv://198.255.74.57:12396/5e50207d0009379b3d32f140b76c2b2d.ts
華視HD,mitv://198.255.74.57:12396/5e50207d0008f9973d32f13096666694.ts
年代新聞,mitv://198.255.74.57:12396/5e50207b000985c23d32e98485830251.ts
非凡新聞,mitv://198.255.74.57:12396/5e50207b0008acd73d32e94c5132e8ab.ts
緯來育樂,mitv://198.255.74.57:12396/5e50207b0007cfaa3d32e914f2b6b70d.ts
緯來綜合,mitv://198.255.74.57:12396/5e50207b0006eef43d32e8da975bbe08.ts
緯來電影,mitv://198.255.74.57:12396/5e50207b0005f6e33d32e89b52a93087.ts
緯來體育,mitv://198.255.74.57:12396/5e50207b000513753d32e86125cd09c9.ts
緯來戲劇,mitv://198.255.74.57:12396/5e50207b00042ba83d32e825c20650d8.ts
緯來日本,mitv://198.255.74.57:12396/5e50207b00034e853d32e7ed96d69415.ts
東森新聞台,mitv://198.255.74.57:12396/5e5fd267000a602c7a81eb9c5ee0fe87.ts
東森財經新聞,mitv://198.255.74.57:12396/5e50207b000180bb3d32e776ee1b9a24.ts
東森電影,mitv://198.255.74.57:12396/5e50207b0000a2003d32e73d8be634ad.ts
東森洋片,mitv://198.255.74.57:12396/5e50207a000ef5883d32e7001d1666d4.ts
東森綜合,mitv://198.255.74.57:12396/5e50207a000e976d3d32e6e83da948e0.ts
東森戲劇,mitv://198.255.74.57:12396/5e50207900001ff63d32df4c0dfcd4f4.ts
東森幼幼,mitv://198.255.74.57:12396/5e502078000e83813d32df13dca72df1.ts
壹電視綜合HD,mitv://198.255.74.57:12396/5e502078000d90eb3d32ded5ba7af9fe.ts
壹電視新聞HD,mitv://198.255.74.57:12396/5e502078000cae2e3d32de9baa0d6a19.ts
龍華動畫HD,mitv://198.255.74.57:12396/5e502078000bc7653d32de60d70bb96e.ts
龍華洋片,mitv://198.255.74.57:12396/5e502078000adff03d32de257a612512.ts
龍華影劇,mitv://198.255.74.57:12396/5e5020780009e96a3d32dde65472d436.ts
龍華偶像,mitv://198.255.74.57:12396/5e5020780008f1003d32dda6bc0268b4.ts
龍華戲劇,mitv://198.255.74.57:12396/5e502078000803333d32dd694b31e00b.ts
龍華經典,mitv://198.255.74.57:12396/5e502078000722b73d32dd30d938e2a9.ts
三立新聞,mitv://198.255.74.57:12396/5e5fcf2a0006c8ee7a7544698392ab6c.ts
三立台灣台,mitv://198.255.74.57:12396/5e502078000545983d32dcb5287bf09f.ts
三立都會台HD,mitv://198.255.74.57:12396/5e5020780004f90a3d32dca29dfcb1f8.ts
三立綜合台HD,mitv://198.255.74.57:12396/5e5020760004290b3d32d49de1e9a62b.ts
三立戲劇台HD,mitv://198.255.74.57:12396/5e502076000346383d32d4631085ebbe.ts
中天新聞HD,mitv://198.255.74.57:12396/5e5020760002596e3d32d426fb68dbf7.ts
中天綜合HD,mitv://198.255.74.57:12396/5e502076000183ec3d32d3ef91816888.ts
东森亞洲台,mitv://198.255.74.57:12396/5e5020760000ab313d32d3b8d26e88d7.ts
中天娛樂,mitv://198.255.74.57:12396/5e502075000f15303d32d380125e5682.ts
八大第一台,mitv://198.255.74.57:12396/5e502075000e2e113d32d34533f47683.ts
八大戲劇,mitv://198.255.74.57:12396/5e502075000d430d3d32d30953f2f7d1.ts
八大娛樂台,mitv://198.255.74.57:12396/5e502075000c63d23d32d2d0f340f62b.ts
八大綜合,mitv://198.255.74.57:12396/5e502075000b7cc13d32d295986c348e.ts
TVBS新聞台HD,mitv://198.255.74.57:12396/5e6221ab00014e4d83878aea2dc55415.ts
TVBS歡樂HD,mitv://198.255.74.57:12396/5e6221ab0000719983878ab1681799a7.ts
TVBSHD,mitv://198.255.74.57:12396/5e6221aa000f3c8c83878a921dee77c0.ts
靖天戲劇台HD,mitv://198.255.74.57:12396/5e5020730001a3623d32c83f79e69bdb.ts
靖天卡通台,mitv://198.255.74.57:12396/5e5020730000c35f3d32c806c36a3c22.ts
靖天電影台HD,mitv://198.255.74.57:12396/5e502072000f2ae13d32c7ce5dbf5dc7.ts
靖天映畫HD,mitv://198.255.74.57:12396/5e502072000e4b4d3d32c795cd89beb2.ts
靖天國際台,mitv://198.255.74.57:12396/5e502072000d697f3d32c75b4c13058c.ts
靖天育樂台,mitv://198.255.74.57:12396/5e502072000c88653d32c7217bffd1a2.ts
靖天日本HD,mitv://198.255.74.57:12396/5e502072000bacfc3d32c6e92be0bb4a.ts
靖洋戲劇台HD,mitv://198.255.74.57:12396/5e502072000ac5753d32c6aea8d5d68b.ts
鴻基影劇台,mitv://198.255.74.57:12396/5e5020720009d7e93d32c671c8a03dc4.ts
EYETV旅遊HD,mitv://198.255.74.57:12396/5e5020720008ef0c3d32c635ae7465a3.ts
EYETV戲劇HD,mitv://198.255.74.57:12396/5e502072000811f93d32c5fd78e49f0d.ts
阿裏郎電視台,mitv://198.255.74.57:12396/5e502072000737e43d32c5c5e71ec7fd.ts
smart知識台,mitv://198.255.74.57:12396/5e5020720006f1d33d32c5b3efec7a71.ts
JET綜合,mitv://198.255.74.57:12396/5e50206f000cf1893d32bb847b55c0b5.ts
寰宇綜合HD,mitv://198.255.74.57:12396/5e50206f000c0ed83d32bb4aecb15555.ts
寰宇新聞頻道,mitv://198.255.74.57:12396/5e50206f000b25773d32bb0e5e6f6b11.ts
寰宇財經,mitv://198.255.74.57:12396/5e50206f000a38ea3d32bad25ea762fd.ts
ELTA綜合HD,mitv://198.255.74.57:12396/5e50206f00087d733d32ba60824ab0e7.ts
ELTA影劇HD,mitv://198.255.74.57:12396/5e50206f00079ef03d32ba27b9976cac.ts
ELTA體育HD,mitv://198.255.74.57:12396/5e50206f0006c4ce3d32b9f02ad92f37.ts
曼迪日本台,mitv://198.255.74.57:12396/5e50206f0005edfa3d32b9b9ce312600.ts
國興衛視,mitv://198.255.74.57:12396/5e50206f00050bbb3d32b97f435181a0.ts
采昌影劇台,mitv://198.255.74.57:12396/5e50206f00041bdf3d32b94116c9fb72.ts
博斯運動1,mitv://198.255.74.57:12396/5e5176f1000b1d60426ca6dc44bf7182.ts
博斯高球ⅡHD,mitv://198.255.74.57:12396/5e50206f000304483d32b8fad57adb37.ts
博斯運動II,mitv://198.255.74.57:12396/5e50206d0000404a3d32b0744628159e.ts
博斯網球HD,mitv://198.255.74.57:12396/5e50206c000ea9273d32b03de7218a60.ts
博斯無限,mitv://198.255.74.57:12396/5e50206c000dc5633d32b002f82504d9.ts
博斯高球一台,mitv://198.255.74.57:12396/5e50206c000ce3763d32afc90d684c91.ts
FOXSPORTS,mitv://198.255.74.57:12396/5e50206c000c138d3d32af93c7c747de.ts
FOXSPORTS3HD,mitv://198.255.74.57:12396/5e50206c000b44a23d32af5e01cec789.ts
MOMO親子台,mitv://198.255.74.57:12396/5e50206c000a75b73d32af297738845a.ts
好消息2,mitv://198.255.74.57:12396/5e50206c0009a1f93d32aef3afe1bfdc.ts
大愛一台,mitv://198.255.74.57:12396/5e50206c0008c8e23d32aebc16b8bbc8.ts
DIVAHD,mitv://198.255.74.57:12396/5e50206c0007f5783d32ae863abbe248.ts
亞洲旅遊台HD,mitv://198.255.74.57:12396/5e50206c000726cc3d32ae51701aab94.ts
美食星球HD,mitv://198.255.74.57:12396/5e50206c000654453d32ae1b5afec589.ts
ChinaMovie,mitv://198.255.74.57:12396/5e50206c0006171c3d32ae0bbad1003e.ts
衛視電影台,mitv://198.255.74.57:12396/5e50206a00007bf93d32a4ccfa9c7d74.ts
衛視合家歡,mitv://198.255.74.57:12396/5e502069000eedc83d32a49673b1b75c.ts
衛視中文台,mitv://198.255.74.57:12396/5e502069000e17e93d32a46005d83470.ts
衛視西片HD,mitv://198.255.74.57:12396/5e502069000d42423d32a429735e8f27.ts
龍祥時代,mitv://198.255.74.57:12396/5e502069000c6cc33d32a3f2a6e8aa91.ts
天映頻道,mitv://198.255.74.57:12396/5e502069000ab76e3d32a382d07b3d5d.ts
好萊塢電影台,mitv://198.255.74.57:12396/5e5020690009caca3d32a3469e5e4340.ts
CinemaWorld,mitv://198.255.74.57:12396/5e5020690008ec1d3d32a30d0a6c7f98.ts
美亞電影台HD,mitv://198.255.74.57:12396/5e502069000817c63d32a2d65bbe5810.ts
星衛電影台HD,mitv://198.255.74.57:12396/5e50206900073ece3d32a29fd28d76b0.ts
星衛娛樂台,mitv://198.255.74.57:12396/5e502069000669403d32a2683760c8cd.ts
HBOHD,mitv://198.255.74.57:12396/5e50206900060f303d32a25155c14c28.ts
HBOHits,mitv://198.255.74.57:12396/5e502066000b276d3d3297e76f60aed2.ts
HBOSignatureHD,mitv://198.255.74.57:12396/5e502066000a4dfd3d3297afe1778d3a.ts
FXHD,mitv://198.255.74.57:12396/5e5020660009533f3d32976fa8dc1ec6.ts
FOXHD,mitv://198.255.74.57:12396/5e502066000877783d329737605eb25c.ts
FOX動作電影HD,mitv://198.255.74.57:12396/5e5020660007a1523d32970079e9e50d.ts
FOX家庭影院HD,mitv://198.255.74.57:12396/5e5020660006b8503d3296c4ec7209c0.ts
FOXCRIMEHD,mitv://198.255.74.57:12396/5e5020660005df333d32968d2af0eb38.ts
FOXNEWS,mitv://198.255.74.57:12396/5e5020660004f9ab3d3296520b5ca6ef.ts
