新闻频道,#genre#
天津卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
广东卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000292703.m3u8
深圳卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000292203.m3u8
山东卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000294803.m3u8
湖北卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000294503.m3u8
安徽卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000298003.m3u8
东南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000292503.m3u8
江西卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000294103.m3u8
四川卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000295003.m3u8
贵州卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000293303.m3u8
重庆卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000297803.m3u8
海南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000291503.m3u8
河北卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000293403.m3u8
河南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000296103.m3u8
辽宁卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000281303.m3u8
黑龙江卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000293903.m3u8
甘肃卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
广西卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000294203.m3u8
青海卫视,http://116.199.5.52:8114/hls/Fsv_chan_hls_se_idx=206&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.m3u8
山西卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
云南卫视,http://39.130.218.239:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
陕西卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
吉林卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225753/1/1000.m3u8?IAS
内蒙古卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
新疆卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=009&Provider_id=&Pcontent_id=index.m3u8
西藏卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8

国内频道V2,#genre#
CCTV-1综合,http://www.dszbdq.cn/diao/ysp.php?tv=0210103
CCTV-2财经,http://www.dszbdq.cn/diao/ysp.php?tv=0203603
CCTV-3综艺,http://www.dszbdq.cn/diao/ysp.php?tv=0203803
CCTV-4中文国际,http://www.dszbdq.cn/diao/ysp.php?tv=0204803
CCTV-5体育,http://www.dszbdq.cn/diao/ysp.php?tv=0205103
CCTV-5+体育赛事,http://www.dszbdq.cn/diao/ysp.php?tv=0204503
CCTV-6电影,http://www.dszbdq.cn/diao/ysp.php?tv=0203303
CCTV-7国防军事,http://www.dszbdq.cn/diao/ysp.php?tv=0510003
CCTV-8电视剧,http://www.dszbdq.cn/diao/ysp.php?tv=0203903
CCTV-9记录,http://www.dszbdq.cn/diao/ysp.php?tv=0499403
CCTV-10科教,http://www.dszbdq.cn/diao/ysp.php?tv=0203503
CCTV-11戏曲,http://www.dszbdq.cn/diao/ysp.php?tv=0204103
CCTV-12社会与法,http://www.dszbdq.cn/diao/ysp.php?tv=0202603
CCTV-13新闻,http://www.dszbdq.cn/diao/ysp.php?tv=0204603
CCTV-14少儿,http://www.dszbdq.cn/diao/ysp.php?tv=0204403
CCTV-15音乐,http://www.dszbdq.cn/diao/ysp.php?tv=0205003
湖南卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0296203
东方卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0292403
广东卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0292703
深圳卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0292203
深圳卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0292203
江苏卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0295603
江苏卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0295603
浙江卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0295503
北京卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0272103
海南卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0291503
山东卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0294803
江西卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0294103
湖北卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0294503
河南卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0296103
河北卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0293403
贵州卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0293303
东南卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0292503
广西卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0294203
四川卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0295003
辽宁卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0281303
重庆卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0297803
安徽卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0298003
黑龙江卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0293903

上海电信,#genre#
东方卫视,http://124.75.27.199:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=42&Provider_id=&Pcontent_id=
东方影视,http://124.75.27.195:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=1&Provider_id=&Pcontent_id=
上海都市,http://124.75.27.195:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=5&Provider_id=&Pcontent_id=
新闻综合,http://124.75.27.195:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=18&Provider_id=&Pcontent_id=
ICS,http://124.75.27.195:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=86&Provider_id=&Pcontent_id=
纪实人文,http://124.75.27.199:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=37&Provider_id=&Pcontent_id=
五星体育,http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=1&Provider_id=&Pcontent_id=
第1财经http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=7&Provider_id=&Pcontent_id=
劲爆体育,http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=51&Provider_id=&Pcontent_id=
全纪实http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=18&Provider_id=&Pcontent_id=
江苏卫视,http://124.75.27.195:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=76&Provider_id=&Pcontent_id=
深圳卫视,http://124.75.27.199:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=43&Provider_id=&Pcontent_id=
CCTV-3综艺,http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=38&Provider_id=&Pcontent_id=
CCTV-5体育,http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=42&Provider_id=&Pcontent_id=
CCTV-6电影,http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=46&Provider_id=&Pcontent_id=
CCTV-8电视剧,http://124.75.27.196:8114/Fsv_otype=1&FvSeid=&Fsv_filetype=1&Fsv_ctype=lives&Fsv_chan_hls_se_idx=50&Provider_id=&Pcontent_id=

影视轮播,#genre#
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
峨眉电影HD,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
湖南潇湘电影HD,http://124.232.231.246:6610/000000001001/201600020006/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2BvUxQhm38dnHm1eSuY7vi6YzamvW6l8OtgHpq%2BKs%2Bl9QddsFpnz4k&m3u8_level=2&terminal_flag=0&ispcode=8
香港老电影,http://aldirect.hls.huya.com/huyalive/94525224-2472147404-10617792251071299584-2777026638-10057-A-0-1_1200.m3u8
周星驰作品集,http://47.240.60.73/migu.php?id=623338112
成龙作品集,http://47.240.60.73/migu.php?id=639528181
吴京作品集,http://47.240.60.73/migu.php?id=625681368
葛优作品集,http://47.240.60.73/migu.php?id=659315456
刘德华作品集,http://47.240.60.73/migu.php?id=659315648
古天乐作品集,http://47.240.60.73/migu.php?id=627198610
港片女神,http://aldirect.rtmp.huya.com/huyalive/30765679-2484192476-10669525441389264896-2789274564-10057-A-0-1_1200.m3u8
李连杰,http://al.rtmp.huya.com/backsrc/94525224-2460686093-10568566295157014528-2789253848-10057-A-0-1.m3u8
黄渤,http://aldirect.rtmp.huya.com/huyalive/30765679-2554414680-10971127511022305280-3048991634-10057-A-0-1_1200.m3u8
沈腾,http://aldirect.rtmp.huya.com/huyalive/29141112-2689675756-11552069408864075776-3048959626-10057-A-0-1.m3u8
徐峥,http://aldirect.rtmp.huya.com/huyalive/30765679-2689675828-11552069718101721088-3048991626-10057-A-0-1_1200.m3u8
李连杰,http://al.rtmp.huya.com/backsrc/94525224-2460686093-10568566295157014528-2789253848-10057-A-0-1.m3u8
黄渤,http://aldirect.rtmp.huya.com/huyalive/30765679-2554414680-10971127511022305280-3048991634-10057-A-0-1_1200.m3u8
沈腾,http://aldirect.rtmp.huya.com/huyalive/29141112-2689675756-11552069408864075776-3048959626-10057-A-0-1.m3u8
徐峥,http://aldirect.rtmp.huya.com/huyalive/30765679-2689675828-11552069718101721088-3048991626-10057-A-0-1_1200.m3u8
周星驰,http://aldirect.rtmp.huya.com/backsrc/94525224-2460685313-10568562945082523648-2789274524-10057-A-0-1.m3u8
林正英,http://aldirect.rtmp.huya.com/backsrc/94525224-2460686034-10568566041753944064-2789274542-10057-A-0-1.m3u8
徐铮,http://aldirect.rtmp.huya.com/huyalive/30765679-2689675828-11552069718101721088-3048991626-10057-A-0-1.m3u8
洪金宝,http://aldirect.rtmp.huya.com/huyalive/29106097-2689406282-11550912026846953472-2789274558-10057-A-0-1.m3u8
吴京,http://aldirect.rtmp.huya.com/backsrc/30765679-2554414705-10971127618396487680-3048991636-10057-A-0-1.m3u8
刘德华,http://aldirect.rtmp.huya.com/backsrc/94525224-2467341872-10597152648291418112-2789274550-10057-A-0-1.m3u8
贺岁档,http://aldirect.rtmp.huya.com/huyalive/28466698-2689663056-11552014862779416576-3048959692-10057-A-0-1.m3u8
卧底大片,http://aldirect.rtmp.huya.com/huyalive/29169025-2686220598-11537229618251563008-2847687556-10057-A-1524043048-1.m3u8
爱奇艺_电影大片,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_dianyingjingxuan_1080p_t10/c15_lb_dianyingjingxuan_1080p_t10.m3u8
爱奇艺_贺岁影院,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_haolaiwudapian_1080p_t10/c16_lb_haolaiwudapian_1080p_t10.m3u8
爱奇艺_动作电影,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_dongzuodianying_1080p_t10/c16_lb_dongzuodianying_1080p_t10.m3u8
爱奇艺_票房收割机,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_heibangdianying_1080p_t10/c16_lb_heibangdianying_1080p_t10.m3u8
爱奇艺_欢乐剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_xijudianying_1080p_t10/c16_lb_xijudianying_1080p_t10.m3u8
爱奇艺_经典港片,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_jingdianguangpian_1080p_t10/c15_lb_jingdianguangpian_1080p_t10.m3u8
爱奇艺_惊悚午夜场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_jingnawuyechang_1080p_t10/c16_lb_jingnawuyechang_1080p_t10.m3u8
爱奇艺_动画电影,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_donghuadianying_1080p_t10/c16_lb_donghuadianying_1080p_t10.m3u8
爱奇艺_华语院线,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_huayuyuanxian_1080p_t10/c16_lb_huayuyuanxian_1080p_t10.m3u8
爱奇艺_怀旧剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_huaijiujuchang_1080p_t10/c16_lb_huaijiujuchang_1080p_t10.m3u8
爱奇艺_温情影院,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_chenglong_1080p_t10/c15_lb_chenglong_1080p_t10.m3u8
爱奇艺_周末影院,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_fengxiaogang_1080p_t10/c16_lb_fengxiaogang_1080p_t10.m3u8
爱奇艺_婚姻剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_hunyinjuchang_1080p_t10/c16_lb_hunyinjuchang_1080p_t10.m3u8
爱奇艺_经典重温,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_jingdianjuchang_1080p_t10/c16_lb_jingdianjuchang_1080p_t10.m3u8
爱奇艺_老年剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_laonianjuchang_1080p_t10/c15_lb_laonianjuchang_1080p_t10.m3u8
爱奇艺_青春剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_weizhangzhe_1080p_t10/c15_lb_weizhangzhe_1080p_t10.m3u8
爱奇艺_抗战剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_kangzhanjuchang_1080p_t10/c15_lb_kangzhanjuchang_1080p_t10.m3u8
爱奇艺_军事观察,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_junshinew_1080p_t10/c16_lb_junshinew_1080p_t10.m3u8

日本频道,#genre#
NHK-E教育,p2p://42.116.8.235:9906/58a5392c000e67e3002abdbb5a71470a.ts
NHK-G综合,p2p://42.116.8.235:9906/58a5392d0001aa85002abe600ca49985.ts
BS朝日,p2p://42.116.8.235:9906/58a5392d0002e6bd002abeb1fec80a72.ts#vjms://58.215.133.184:8500:3502/live/cid=308
日本テレビ,p2p://42.116.8.235:9906/58a5392d00041645002abeff37b11a82.ts
テレビ朝日,p2p://42.116.8.235:9906/58a5392d00069e03002abfa5090323e4.ts
TBSテレビ,p2p://42.116.8.235:9906/58a5392d0007dba6002abff6d3208d98.ts
テレビ東京,p2p://42.116.8.235:9906/58a5392d0009115f002ac0451a57c533.ts
フジテレビ,p2p://42.116.8.235:9906/58a5392d000a41c1002ac09360fc60d3.ts
TOKYO MX,p2p://42.116.8.235:9906/58a5392d000b72de002ac0e105d2fb01.ts
BS日テレ,p2p://42.116.8.235:9906/58a5392d000ca2ad002ac12f9eb03609.ts
BS-TBS,p2p://42.116.8.235:9906/58a5392d000dccd7002ac17b52f1bba2.ts
BSジャパン,p2p://42.116.8.235:9906/58a5392d000ef59a002ac1c7c8011c2d.ts
BSフジ,p2p://42.116.8.235:9906/58a5392e00010053002ac21d0512ecfc.ts
WOWOWライブ,p2p://42.116.8.235:9906/58a5392e0003e4bb002ac2dabf089536.ts#vjms://58.215.133.184:8500:3502/live/cid=205
WOWOWシネマ,p2p://42.116.8.235:9906/58a539430002689c002b14812e669781.ts
スター?チャンネル1,p2p://42.116.8.235:9906/58a539430002fe14002b14a7eb471e8d.ts
J sports 3,p2p://42.116.8.235:9906/58a53943000548d3002b153def6a193d.ts
J sports 4,p2p://42.116.8.235:9906/58a53943000670d5002b1589b06c7433.ts
BS-1,p2p://42.116.8.235:9906/58a53943000799cf002b15d54858eb15.ts
BSプレミアム,p2p://42.116.8.235:9906/58a539430008c7dd002b1622b1407627.ts
放送大学テレビ,p2p://42.116.8.235:9906/58a53943000b1ac6002b16bb3315f622.ts
グリーンチャンネル,p2p://42.116.8.235:9906/58a53943000c544e002b170b918f4cb4.ts
BSアニマックス,p2p://42.116.8.235:9906/58a53943000d79f7002b1756ced71dc2.ts
ディズニー?チャンネルHD,p2p://42.116.8.235:9906/58a53943000ea208002b17a252420d66.ts
日本映画専門チャンネルHD,p2p://42.116.8.235:9906/58a53944000083f6002b17ed723913d2.ts
J sports 1,p2p://42.116.8.235:9906/58a539440001ac5b002b183925be66b9.ts
J sports 2,p2p://42.116.8.235:9906/58a539440002d1f6002b18840450d785.ts
スカイ?A sports＋,p2p://42.116.8.235:9906/58a539440003fd33002b18d05e6a454b.ts
日テレG+ HD,p2p://42.116.8.235:9906/58a53944000516d6002b1918d59277ae.ts
ゴルフネットワークHD,p2p://42.116.8.235:9906/58a5394c000dd909002b3a96b312dab8.ts
時代劇専門チャンネル,p2p://42.116.8.235:9906/58a5394c000e5a50002b3ab895754d59.ts
ホームドラマチャンネル,p2p://42.116.8.235:9906/58a5394d00014080002b3b45f14147a5.ts
Music Japan TV,p2p://42.116.8.235:9906/58a5394d000258ec002b3b8db66a5327.ts
キッズステーションHD,p2p://42.116.8.235:9906/58a5394d00049c5c002b3c211aca01d4.ts
ディスカバリーチャンネル,p2p://42.116.8.235:9906/58a5394d0005b3ef002b3c6936289c18.ts
ヒストリーチャンネル,p2p://42.116.8.235:9906/58a5394d0006c60d002b3caf5aeb69cd.ts
ナショナル ジオグラフィッ,p2p://42.116.8.235:9906/58a5394d0007da09002b3cf6ceb48c78.ts
TBSニュースバード,p2p://42.116.8.235:9906/58a5394d0008eaaf002b3d3b91fd3936.ts
旅チャンネル,p2p://42.116.8.235:9906/58a5394d000a0502002b3d84119d3d96.ts
NHK综合大阪,p2p://42.116.8.235:9906/58a5394d000b1a24002b3dcb8d453cb0.ts
読売テレビ,p2p://42.116.8.235:9906/58a5394d000c504a002b3e1a5cc7cedc.ts
毎日放送,p2p://42.116.8.235:9906/58a5394d000d83a9002b3e6900af7e7b.ts
関西テレビ,p2p://42.116.8.235:9906/58a5394d000eb2f2002b3eb6df9d9857.ts
朝日放送,p2p://42.116.8.235:9906/58a5394e0000a372002b3f0559fc8ee0.ts
テレビ大阪,p2p://42.116.8.235:9906/58a53961000104d2002b89564a682c3a.ts
サンテレビ,p2p://42.116.8.235:9906/58a5396100029b0c002b89bee6749240.ts

骑士直播,#genre#
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
日本NHK英语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
日本TBSNEWS,http://tbs1.media.ylive.jp/d6d710ed2c204b4cb9ffea55a16a5f40/ap-northeast-1/5690807595001/profile_0/chunklist.m3u8
日本WOWO电影,http://192.240.127.34:1935/live/cs27.stream/media_1254.m3u8
日本Japan News 24,http://www.news24.jp/livestream/index.m3u8
日本WOWOW MOVIES (JPN|ENG),http://192.240.127.34:1935/live/cs27.stream/playlist.m3u8
日本历史频道,http://192.240.127.34:1935/live/cs14.stream/playlist.m3u8
日本Family Gekijoファミリー劇場,http://192.240.127.34:1935/live/cs11.stream/playlist.m3u8
日本卫星剧场,http://192.240.127.34:1935/live/cs18.stream/playlist.m3u8
日本映画NihonEigaTV,http://192.240.127.34:1935/live/cs19.stream/playlist.m3u8
日本JapanetChannelDX,http://bcsecurelivehls-i.akamaihd.net/hls/live/265320/5043843989001/140130JTDX/index_1200.m3u8
日本QVC Japan,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
日本NHK World,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/sycc-live/zh/domestic/playlist.m3u8
韩国EBS第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS少儿频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
韩国UBCSBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国KOREAYTN,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
韩国KTV韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国YTN 联合新闻,http://ytnmmd.mmdlive.lldns.net/ytnmmd/9484b70302db4786886ae40308bf45a1/chunklist_b2592000.m3u8
韩国阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩国EBS-E,http://58.229.187.11/plus3familypc/_definst_/familypc1m/chunklist_w426400414.m3u8
韩国MBC MAX,http://63.237.48.3/ios/MBC_MAX/MBC_MAX.m3u8
BS衛星劇場,http://192.240.127.34:1935/live/cs11.stream/play.m3u8
韩国BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
CPAC,http://bcoveliveios-i.akamaihd.net/hls/live/248519/1242843915001_1/master.m3u8
CGTN 国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN 记录频道,http://live.cgtn.com/1000d/prog_index.m3u8
CGTN 法语频道,http://live.cgtn.com/1000f/prog_index.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/i
朝阳频道,http://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8
印度音乐电视,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
